created_time,id,pre_processed_message,shares,status_type,full_picture,reactions_like,reactions_haha,reactions_wow,reactions_sad,reactions_angry,reactions_love
2020-02-29T11:23:27+0000,904277726319518_2878974912183113,bolsonavirus nada erroneo considerar bolsonaro acidente percurso recidiva agressiva patologias insuperadas face sistema imunologico debilitado tanto intui mentiras dissemina nao sao camufladas permite aferir precisao grau adesao cega movimento pestilento,818,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQD2jceDZYu4wEoI&url=https%3A%2F%2Ff.i.uol.com.br%2Ffotografia%2F2020%2F02%2F18%2F15820719605e4c8098d4f67_1582071960_3x2_xl.jpg&_nc_hash=AQCny0oyYOE5VXH-,4996,209,19,40,58,636
2020-02-29T09:21:22+0000,904277726319518_2878783568868914,bolsonavirus nada erroneo considerar bolsonaro raio ceu azul acidente percurso bolsonaro recidiva agressiva patologias insuperadas face sistema imunologico debilitado tanto intui mentiras dissemina nao sao camufladas permite aferir precisao grau adesao cega movimento pestilento,477,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQD2jceDZYu4wEoI&url=https%3A%2F%2Ff.i.uol.com.br%2Ffotografia%2F2020%2F02%2F18%2F15820719605e4c8098d4f67_1582071960_3x2_xl.jpg&_nc_hash=AQCny0oyYOE5VXH-,2602,84,14,26,19,130
2020-02-28T00:14:25+0000,904277726319518_2875616525852285,cristiano zanin advogado lula fernando haddad discutem novidades processos contra lula revelacoes policia federal admitiu arquivos odebrecht usados lava jato podem ter sido manipulados existencia documentos provam sergio moro abriu inquerito contra lula pf lei seguranca nacional mentiu descoberto video ricardo stuckert,540,mobile_status_update,https://scontent-gru2-2.xx.fbcdn.net/v/t15.5256-10/83906387_613842776137198_1347248987836514304_n.jpg?_nc_cat=102&_nc_sid=ad6a45&_nc_ohc=yttTWUYQGuwAX_r2WdL&_nc_ht=scontent-gru2-2.xx&oh=d9c65eb63ef539bf9f3787f44192dac8&oe=5EAFF0BF,3068,120,23,4,20,140
2020-02-26T12:12:56+0000,904277726319518_2872245456189392,disney pao ha ano governo bolsonaro ja sabia falta dinheiro bolsa familia menos cinco vezes ministerio cidadania pediu dinheiro fila espera continuasse zerada junta orcamentaria barrou pleitos,1068,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQC8X8xxZqPbMKtE&url=https%3A%2F%2Ff.i.uol.com.br%2Ffotografia%2F2020%2F02%2F09%2F15812871595e4086f7c08a3_1581287159_3x2_rt.jpg&_nc_hash=AQDP-uo8tNI_goY6,3148,48,24,1306,616,8
2020-02-26T00:58:59+0000,904277726319518_2871255852955019,bolsonaro tudo indica cometeu crime responsabilidade previsto constituicao jurou respeitar certamente nunca leu,1369,mobile_status_update,None,21619,524,79,68,77,1923
2020-02-24T19:51:01+0000,904277726319518_2868531243227480,impacto fundeb criamos qualidade educacao nordeste,3249,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQBlYFJmfACk2VWY&url=https%3A%2F%2Fogimg.infoglobo.com.br%2Fin%2F24267237-ec0-cbe%2FFT1086A%2F652%2FLarissa.jpeg.jpg&_nc_hash=AQAEgzEDi5eQcXUr,10571,86,45,9,2,2635
2020-02-22T13:03:28+0000,904277726319518_2863199017094036,cronica semana nao podemos descuidar dois problemas ascensao extrema direita fez ressurgir fortalecimento milicias conflito federativo bolsonaro criouse perigosa tensao governos estaduais policias militares,528,shared_story,https://external-gru1-1.xx.fbcdn.net/safe_image.php?d=AQBL459wIT5gfB30&url=https%3A%2F%2Ff.i.uol.com.br%2Ffotografia%2F2020%2F02%2F20%2F15822009245e4e785c22807_1582200924_3x2_rt.jpg&_nc_hash=AQDP6OEsLQ2FAIgV,2718,80,31,130,34,31
2020-02-22T00:18:55+0000,904277726319518_2862087573871847,bem falaram carnaval rua sp nao ia rolar triste ne,1289,added_photos,https://scontent-gru1-1.xx.fbcdn.net/v/t1.0-9/s720x720/84204757_2862087510538520_2217392916576337920_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=ud1QxEMObxQAX90Lqxg&_nc_ht=scontent-gru1-1.xx&_nc_tp=7&oh=c32c82ba8d6299783f87128e3edcf65f&oe=5EACFD98,29857,1003,132,25,14,12585
2020-02-20T11:28:49+0000,904277726319518_2858610960886175,ha clara tentativa desestabilizar melhores governos historia ceara camilo santana habitual firmeza sobriedade sabera enfrentar desafio todo apoio governador desejo pronto restabelecimento senador cid gomes melhores quadros politicos nordeste,588,mobile_status_update,None,9914,223,12,19,7,820
2020-02-18T20:38:19+0000,904277726319518_2855332637880674,brasilia discutindo oposicao brasil justo democratico foto ricardo stuckert,541,added_photos,https://scontent-gru2-1.xx.fbcdn.net/v/t1.0-9/s720x720/86969815_2855332584547346_7403754617294553088_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=jDYkgVM8BtkAX_KryqW&_nc_ht=scontent-gru2-1.xx&_nc_tp=7&oh=c05cb0e33b873fc66fdc28ecb0b100f9&oe=5EAEC0D7,9555,369,32,3,20,2114
